,600820.SH:207000,000541.SZ:89850,600256.SH:13000,000027.SZ:30000,002939.SZ:500,601577.SH:1000,601138.SH:500,total 
20191213,5.94,4.79,3.34,6.1,12.97,8.8,18.92,1911126.5
20191212,5.83,4.76,3.35,6.0,11.9,8.69,17.79,1881581.0
20191211,5.87,4.83,3.39,6.05,11.93,8.69,17.82,1898200.5
20191210,5.93,4.87,3.37,6.07,11.61,8.6,17.75,1914269.5
20191209,5.94,4.86,3.37,6.09,11.83,8.62,17.53,1916061.0
20191206,5.89,4.88,3.36,6.08,11.91,8.63,16.8,1906763.0
20191205,5.88,4.86,3.35,6.09,12.0,8.63,17.14,1903281.0
20191204,5.88,4.85,3.35,6.11,11.9,8.58,16.84,1902732.5
20191203,5.87,4.88,3.31,6.08,11.94,8.59,17.09,1902093.0
20191202,5.87,4.91,3.26,6.1,11.83,8.56,17.02,1904618.5
20191129,5.88,4.9,3.25,6.02,11.66,8.56,16.66,1902995.0
20191128,5.87,4.87,3.24,6.0,11.57,8.57,16.38,1897324.5
20191127,5.85,4.88,3.26,6.03,11.6,8.64,16.54,1895408.0
20191126,5.83,4.88,3.25,5.94,11.63,8.72,16.41,1888468.0
20191125,5.86,4.87,3.3,6.02,11.72,8.76,16.2,1896809.5
20191122,5.78,4.85,3.23,5.96,11.82,8.64,16.82,1875982.5
20191121,5.73,4.85,3.22,5.98,11.9,8.68,16.8,1866172.5
20191120,5.74,4.87,3.21,5.96,11.87,8.76,16.21,1869079.5
20191119,5.79,4.89,3.24,6.05,12.06,8.85,16.08,1884436.5
20191118,5.75,4.85,3.2,6.04,12.03,8.81,15.94,1871617.5
20191115,5.75,4.86,3.19,5.93,11.9,8.74,16.01,1868986.0
20191114,5.89,4.89,3.22,6.04,11.85,8.8,15.99,1904376.5
20191113,5.83,4.87,3.2,6.1,11.36,8.8,15.66,1891289.5
20191112,5.81,4.91,3.21,6.05,11.47,8.9,15.78,1889588.5
20191111,5.83,4.92,3.2,6.0,11.38,8.87,15.58,1892822.0
20191108,5.91,5.01,3.32,6.08,11.6,9.08,16.0,1921958.5
20191107,5.93,5.02,3.34,6.13,11.57,9.25,15.32,1928572.0
20191106,5.9,5.02,3.35,6.12,11.62,9.14,15.62,1922257.0
20191105,5.95,5.03,3.37,6.28,12.01,9.18,15.9,1938940.5
20191104,5.91,5.02,3.38,6.15,11.93,9.05,15.78,1925762.0
20191101,5.88,5.03,3.28,6.17,11.93,9.03,15.59,1919635.5
20191031,5.82,5.02,3.29,6.11,11.88,8.84,15.35,1904312.0
20191030,5.86,5.02,3.26,6.12,11.95,8.98,15.77,1912887.0
20191029,5.86,5.06,3.3,6.09,11.97,8.96,15.7,1916056.0
20191028,5.91,5.09,3.34,6.19,12.4,9.05,16.01,1933081.5
20191025,5.88,5.07,3.34,6.24,12.48,9.06,15.88,1926559.5
20191024,5.87,5.06,3.34,6.23,12.2,9.1,16.19,1923346.0
20191023,5.86,5.04,3.32,6.1,12.47,8.87,16.11,1915184.0
20191022,5.85,5.07,3.33,6.17,12.78,8.87,15.81,1918044.5
20191021,5.84,5.03,3.34,6.18,13.75,8.89,15.28,1913050.5
20191018,5.81,5.05,3.4,6.12,14.4,8.83,15.23,1907857.5
20191017,5.91,5.06,3.44,6.16,14.99,9.01,15.21,1931641.0
20191016,5.92,5.08,3.42,6.18,14.9,9.06,14.77,1935633.0
20191015,5.97,5.09,3.43,6.14,15.07,9.2,14.91,1946106.5
20191014,6.0,5.13,3.44,6.11,15.61,9.25,15.2,1955605.5
20191011,5.94,5.1,3.37,6.0,15.51,8.95,14.82,1935740.0
20191010,5.92,5.09,3.33,5.92,15.19,8.8,14.64,1927381.5
20191009,5.87,5.06,3.32,5.86,15.12,8.79,14.23,1912156.0
20191008,5.87,5.05,3.31,5.85,14.83,8.66,14.6,1910737.5
20190930,5.89,5.03,3.32,5.78,14.8,8.61,14.4,1910945.5
20190927,5.93,5.05,3.31,5.79,15.2,8.74,15.07,1921857.5
20190926,5.94,5.05,3.3,5.89,15.07,8.73,15.03,1926702.5
20190925,5.95,5.03,3.35,5.89,15.82,8.65,15.34,1928075.5
20190924,6.05,5.1,3.36,5.99,16.15,8.73,15.59,1958565.0
20190923,6.09,5.11,3.38,5.9,16.34,8.72,14.21,1964698.5
20190920,6.2,5.2,3.41,5.99,16.73,8.89,14.49,1999150.0
20190919,6.11,5.2,3.42,5.99,16.83,8.88,14.49,1980690.0
20190918,6.09,5.18,3.42,5.98,16.53,8.83,14.36,1974188.0
20190917,6.1,5.19,3.5,5.97,16.91,8.83,14.17,1977991.5
20190916,6.19,5.32,3.5,6.09,17.1,8.97,14.88,2012492.0
20190912,6.24,5.34,3.43,6.12,17.66,9.02,15.31,2025174.0
20190911,6.16,5.32,3.43,6.1,17.31,8.99,15.21,2005962.0
20190910,6.17,5.34,3.44,6.08,17.72,9.04,15.1,2009559.0
20190909,6.18,5.34,3.41,6.1,16.47,9.08,15.36,2011384.0
20190906,6.14,5.27,3.39,6.09,16.32,9.05,15.31,1996124.5
20190905,6.15,5.27,3.42,6.09,16.33,9.04,15.2,1998524.5
20190904,6.08,5.28,3.38,6.13,16.04,8.81,15.13,1985203.0
20190903,5.99,5.19,3.34,5.92,15.71,8.64,15.01,1951271.5
20190902,6.0,5.19,3.34,5.96,15.79,8.62,14.52,1954316.5
20190830,5.92,5.12,3.31,5.9,15.48,8.47,14.21,1928817.0
20190829,5.98,5.18,3.34,5.93,15.59,8.55,14.37,1948133.0
20190828,5.99,5.16,3.35,6.03,15.61,8.61,14.08,1951461.0
20190827,5.89,5.16,3.33,5.99,15.92,8.65,14.4,1929656.0
20190826,5.87,5.1,3.31,6.03,15.97,8.53,14.23,1920885.0
20190823,5.94,5.16,3.35,6.01,15.63,8.65,14.95,1940996.0
20190822,5.95,5.16,3.32,6.09,16.11,8.63,14.82,1945231.0
20190821,5.94,5.17,3.31,6.01,16.0,8.63,15.15,1941639.5
20190820,5.9,5.15,3.34,6.1,16.48,8.64,14.77,1934712.5
20190819,5.91,5.18,3.35,6.26,15.48,8.68,15.09,1944108.0
20190816,5.78,5.07,3.3,5.69,14.07,8.49,14.36,1888304.5
20190815,5.79,5.1,3.34,5.61,13.89,8.47,14.29,1891045.0
20190814,5.78,5.1,3.22,5.67,13.92,8.5,13.69,1888960.0
20190813,5.77,5.09,3.18,5.58,13.98,8.47,13.49,1882671.5
20190812,5.82,5.14,3.22,5.63,14.37,8.59,12.86,1899534.0
20190809,5.79,5.08,3.19,5.45,13.88,8.51,12.29,1881533.0
20190808,5.81,5.12,3.23,5.54,14.42,8.64,12.35,1892917.0
20190807,5.79,5.08,3.23,5.53,14.38,8.47,12.24,1884638.0
20190806,5.81,5.13,3.22,5.56,14.63,8.47,12.33,1894210.5
20190805,5.95,5.29,3.33,5.75,13.77,8.59,12.62,1944531.5
20190802,6.09,5.24,3.39,5.82,13.5,8.78,12.89,1972089.0
20190801,6.13,5.33,3.45,5.89,13.94,8.95,13.42,1991990.5
20190731,6.17,5.35,3.48,5.91,14.18,9.04,13.67,2003392.5
20190730,6.23,5.31,3.51,5.94,14.43,9.13,13.39,2013583.5
20190729,6.21,5.28,3.5,5.88,14.38,9.08,13.31,2004703.0
20190726,6.22,5.24,3.52,5.9,14.55,9.08,13.25,2004094.0
20190725,6.17,5.24,3.49,5.94,15.06,9.11,13.41,1994919.0
20190724,6.17,5.24,3.51,5.93,15.22,9.05,13.06,1994724.0
20190723,6.16,5.2,3.48,5.91,15.14,9.0,12.43,1987665.0
20190722,6.14,5.17,3.48,5.96,15.13,9.0,12.25,1982234.5
20190719,6.17,5.17,3.52,6.05,15.75,9.1,12.46,1992179.5
20190718,6.15,5.16,3.52,6.01,14.95,9.04,12.36,1985431.0
20190717,6.23,5.24,3.54,6.04,15.26,9.15,12.81,2010829.0
20190716,6.26,5.24,3.55,6.1,15.25,9.17,12.66,2018909.0
20190715,6.26,5.23,3.55,6.07,15.5,9.17,12.76,2017285.5
20190712,6.19,5.18,3.54,5.97,14.93,9.18,12.77,1994903.0
20190711,6.18,5.17,3.54,5.92,15.04,9.05,12.79,1990369.5
20190710,6.19,5.15,3.48,5.92,15.27,9.03,12.73,1989927.5
20190709,6.24,5.18,3.5,5.98,15.79,9.07,12.71,2005323.0
20190708,6.26,5.17,3.49,6.06,15.9,9.14,12.68,2010944.5
20190705,6.43,5.33,3.56,6.23,16.06,9.4,13.15,2067095.5
20190704,6.43,5.32,3.55,6.28,16.7,9.39,13.26,2067932.0
20190703,6.4,5.36,3.55,6.24,17.34,9.78,13.41,2064901.0
20190702,6.42,5.38,3.6,6.27,17.47,9.74,13.3,2072358.0
20190701,6.47,5.35,3.63,6.28,18.36,9.76,13.26,2081147.5
20190628,6.31,5.24,3.56,6.2,16.69,9.54,12.05,2033174.0
20190627,6.36,5.31,3.61,6.26,16.6,9.66,12.15,2052388.5
20190626,6.35,5.28,3.63,6.22,15.42,9.69,12.11,2046103.0
20190625,6.35,5.28,3.55,6.22,16.25,9.77,12.04,2045523.0
20190624,6.4,5.36,3.59,6.22,14.77,9.69,12.24,2062861.0
20190621,6.44,5.35,3.61,6.18,15.42,9.77,12.32,2069747.5
20190620,6.38,5.3,3.53,6.11,15.5,9.85,11.95,2049630.0
20190619,6.51,5.24,3.48,5.99,14.15,9.48,11.84,2065799.0
20190618,6.47,5.18,3.46,5.87,14.03,9.45,11.65,2048083.0
20190617,6.41,5.2,3.49,5.9,13.85,9.4,11.69,2038630.0
20190614,6.38,5.19,3.51,5.92,13.79,9.26,11.81,2032271.5
20190613,6.45,5.3,3.53,6.03,14.21,9.48,11.94,2060700.0
20190612,6.42,5.24,3.48,6.0,14.25,9.45,11.91,2047524.0
20190611,6.49,5.29,3.54,6.07,14.57,9.61,12.1,2069801.5
20190610,6.29,5.18,3.46,5.96,13.6,9.3,11.68,2013173.0
20190606,6.17,5.13,3.46,5.81,13.97,9.14,12.83,1979940.5
20190605,6.27,5.12,3.63,5.91,13.57,9.21,13.08,2004947.0
20190604,6.31,5.12,3.65,5.89,13.59,9.17,13.08,2012857.0
20190603,6.33,5.14,3.64,5.93,13.22,9.25,13.38,2019909.0
20190531,6.4,5.23,3.71,5.95,13.08,9.34,13.68,2044165.5
20190530,6.45,5.24,3.73,5.96,13.0,9.28,13.47,2055769.0
20190529,6.51,5.27,3.66,6.03,13.36,9.38,13.63,2072434.5
20190528,6.58,5.3,3.68,6.07,13.21,9.31,13.4,2090820.0
20190527,6.52,5.33,3.67,5.98,13.43,9.38,13.26,2078375.5
20190524,6.38,5.24,3.62,5.88,13.09,9.27,12.9,2037199.0
20190523,6.41,5.23,3.68,5.91,12.43,9.13,13.04,2043790.5
20190522,6.53,5.32,3.73,6.05,11.93,9.26,13.37,2081612.0
20190521,6.59,5.35,3.77,6.13,12.06,9.33,13.5,2099847.5
20190520,6.58,5.3,3.74,6.11,11.93,9.2,13.2,2091950.0
20190517,6.52,5.36,3.72,6.08,11.6,9.22,13.2,2083616.0
20190516,6.7,5.6,3.8,6.23,12.47,9.6,13.83,2149110.0
20190515,6.63,5.73,3.78,6.22,12.52,9.58,13.89,2145775.5
20190514,6.5,5.83,3.72,6.11,12.41,9.51,13.61,2123505.5
20190513,6.53,5.65,3.76,6.21,12.31,9.55,13.88,2117187.5
20190510,6.49,5.81,3.82,6.29,12.59,9.8,14.22,2127023.5
