,600820:207000,000541:89850,600256:13000,000027:30000,002939:500,601577:1000,601138:500,sh,total 
2018-10-31,5.7,5.45,4.42,5.2,12.1,9.86,12.25,2602.78,1905077.5
2018-10-30,5.6,5.41,4.33,5.2,11.0,9.45,12.1,2568.05,1878578.5
2018-10-29,5.54,5.36,4.37,5.19,10.0,9.09,12.07,2542.1,1861011.0
2018-10-26,5.54,5.45,4.49,5.19,9.09,9.42,12.09,2598.85,1870542.5
2018-10-25,5.49,5.4,4.48,5.19,9.09,9.6,12.0,2603.8,1855705.0
2018-10-24,5.54,5.5,4.57,5.14,9.09,9.43,12.19,2603.3,1874635.0
2018-10-23,5.53,5.46,4.7,5.14,9.09,8.99,12.19,2594.83,1870221.0
2018-10-22,5.62,5.55,4.83,5.22,9.09,9.37,12.65,2654.88,1901637.5
2018-10-19,5.36,5.31,4.53,4.92,9.09,8.83,11.61,2550.47,1812293.5
2018-10-18,5.25,5.22,4.43,4.83,9.09,8.62,11.38,2486.42,1777112.0
2018-10-17,5.48,5.26,4.7,5.0,9.09,9.0,11.76,2561.61,1837496.0
2018-10-16,5.42,5.17,4.89,4.94,9.09,9.14,11.57,2546.33,1817704.5
2018-10-15,5.51,5.5,4.88,4.98,9.09,9.25,11.89,2568.1,1867325.0
2018-10-12,5.59,5.56,4.97,5.02,9.09,9.58,11.96,2606.91,1892011.0
2018-10-11,5.62,5.5,4.89,4.99,9.09,9.06,12.34,2583.46,1890560.0
2018-10-10,6.02,5.91,5.34,5.37,9.09,10.03,13.71,2725.84,2029103.5
2018-10-09,5.96,5.83,5.33,5.32,9.09,10.21,13.73,2721.01,2008055.5
2018-10-08,5.98,5.95,5.03,5.38,9.09,10.3,13.72,2716.51,2020962.5
2018-09-28,6.11,6.04,5.11,5.43,9.09,11.34,14.24,2821.35,2059799.0
2018-09-27,6.07,5.99,5.04,5.36,9.09,11.98,14.2,2791.77,2044636.5
2018-09-26,6.1,5.99,5.03,5.42,9.09,11.51,14.55,2806.81,2052221.5
2018-09-25,6.11,5.94,4.94,5.43,9.09,11.51,14.43,2781.14,2048869.0
2018-09-21,6.04,5.95,4.78,5.44,9.09,11.51,14.45,2797.48,2033507.5
2018-09-20,5.97,5.91,4.75,5.39,9.09,11.51,14.27,2729.24,2013443.5
2018-09-19,5.95,5.87,4.67,5.3,9.09,11.51,14.42,2730.85,2002044.5
2018-09-18,5.95,5.84,4.51,5.27,9.09,11.51,14.31,2699.95,1996314.0
2018-09-17,5.75,5.8,4.49,5.21,9.09,11.51,14.17,2651.79,1949190.0
2018-09-14,5.84,5.87,4.43,5.26,9.09,11.51,14.6,2681.64,1975044.5
2018-09-13,5.86,5.86,4.43,5.22,9.09,11.51,14.79,2686.58,1977181.0
2018-09-12,5.8,5.8,4.33,5.2,9.09,11.51,14.72,2656.11,1957435.0
2018-09-11,5.81,5.82,4.34,5.26,9.09,11.51,14.69,2664.8,1963217.0
2018-09-10,5.79,5.83,4.47,5.24,9.09,11.51,14.63,2669.48,1961035.5
2018-09-07,5.94,5.83,4.41,5.24,9.09,11.51,14.89,2702.3,1991435.5
2018-09-06,5.92,5.83,4.4,5.19,9.09,11.51,15.03,2691.59,1985735.5
2018-09-05,5.95,5.84,4.37,5.25,9.09,11.51,14.63,2704.34,1994054.0
2018-09-04,6.03,5.9,4.47,5.29,9.09,11.51,14.93,2750.58,2018655.0
2018-09-03,5.99,5.89,4.46,5.29,9.09,11.51,14.7,2720.73,2009231.5
2018-08-31,6.02,5.86,4.44,5.21,9.09,11.51,14.79,2725.25,2010131.0
2018-08-30,6.01,5.87,4.63,5.19,9.09,11.51,14.8,2737.74,2010834.5
2018-08-29,6.1,5.89,4.49,5.2,9.09,11.51,15.11,2769.29,2029896.5
2018-08-28,6.17,5.91,4.64,5.23,9.09,11.51,15.32,2777.98,2049138.5
2018-08-27,6.16,5.92,4.68,5.18,9.09,11.51,15.31,2780.9,2046982.0
2018-08-24,6.09,5.88,4.61,5.12,9.09,11.51,14.99,2729.43,2026028.0
2018-08-23,6.13,5.86,4.68,5.02,9.09,11.51,15.13,2724.62,2030491.0
2018-08-22,6.08,5.85,4.63,4.99,9.09,11.51,14.74,2714.61,2017497.5
2018-08-21,6.13,5.9,4.66,5.07,9.09,11.51,15.02,2733.83,2035270.0
2018-08-20,6.07,5.9,4.62,5.02,9.09,11.51,14.92,2698.47,2020780.0
2018-08-17,6.05,5.8,4.49,4.98,9.09,11.51,14.63,2668.97,2004620.0
2018-08-16,6.16,5.83,4.67,5.03,9.09,11.51,14.9,2705.19,2034060.5
2018-08-15,6.22,5.91,4.75,5.03,9.09,11.51,15.06,2723.26,2054788.5
2018-08-14,6.39,6.03,4.79,5.13,9.09,11.51,15.52,2780.96,2104510.5
2018-08-13,6.45,6.05,4.68,5.1,9.09,11.51,15.73,2785.87,2116502.5
2018-08-10,6.4,6.05,4.69,5.13,9.09,11.51,15.47,2795.31,2107052.5
2018-08-09,6.46,6.07,4.68,5.09,9.09,11.51,15.42,2794.38,2119914.5
2018-08-08,6.37,6.0,4.63,5.02,9.09,11.51,15.01,2744.07,2092040.0
2018-08-07,6.5,6.0,4.6,5.02,9.09,11.51,15.55,2779.37,2118830.0
2018-08-06,6.15,5.86,4.38,4.89,9.09,11.51,15.14,2705.16,2026836.0
2018-08-03,6.13,5.95,4.37,4.98,9.09,11.51,15.81,2740.44,2033687.5
2018-08-02,6.29,5.8,4.45,4.89,9.09,11.51,16.24,2768.02,2051885.0
2018-08-01,6.35,5.95,4.4,5.07,9.09,11.51,16.97,2824.53,2082897.5
2018-07-31,6.36,6.06,4.6,5.1,9.09,11.51,17.18,2876.4,2098456.0
2018-07-30,6.48,6.05,4.57,5.12,9.09,11.51,17.15,2869.05,2122592.5
2018-07-27,6.38,6.1,4.63,5.09,9.09,11.51,17.29,2873.59,2106335.0
2018-07-26,6.44,6.12,4.51,5.08,9.09,11.51,17.76,2882.23,2118927.0
2018-07-25,6.45,6.13,4.44,5.07,9.09,11.51,17.72,2903.65,2120665.5
2018-07-24,6.44,6.1,4.48,5.13,9.09,11.51,18.06,2905.56,2118390.0
2018-07-23,6.02,5.98,4.47,4.98,9.09,11.51,17.25,2859.54,2015633.0
2018-07-20,5.82,5.91,4.43,4.98,9.09,11.51,17.31,2829.27,1967453.5
2018-07-19,5.96,5.87,4.42,4.82,9.09,11.51,16.93,2772.55,1987719.5
2018-07-18,6.01,5.92,4.31,4.83,9.09,11.51,17.19,2787.26,2001562.0
2018-07-17,6.0,6.0,4.27,4.78,9.09,11.51,17.68,2798.13,2004905.0
2018-07-16,6.0,5.86,4.28,4.84,9.09,11.51,17.84,2814.04,1994336.0
2018-07-13,5.97,5.91,4.28,4.89,9.09,11.51,17.62,2831.18,1994008.5
2018-07-12,5.96,5.87,4.31,4.92,9.09,11.51,17.96,2837.66,1989804.5
2018-07-11,5.82,5.75,4.18,4.86,9.09,11.51,16.63,2777.77,1945887.5
2018-07-10,5.92,5.87,4.24,4.92,9.09,11.51,17.35,2827.63,1980309.5
2018-07-09,5.89,5.85,4.22,4.93,9.09,11.51,17.48,2815.11,1972407.5
2018-07-06,5.82,5.76,3.97,4.88,9.09,11.51,17.23,2747.23,1944956.0
2018-07-05,5.81,5.78,3.94,4.85,9.09,11.51,16.95,2733.88,1943253.0
2018-07-04,5.94,5.96,4.09,4.92,9.09,11.51,17.17,2759.13,1990496.0
2018-07-03,5.91,5.97,4.07,4.91,9.09,11.51,17.91,2786.89,1984994.5
2018-07-02,5.82,5.89,3.95,4.87,9.09,11.51,17.59,2775.56,1956256.5
2018-06-29,5.91,5.99,4.1,4.94,9.09,11.51,18.44,2847.42,1988346.5
2018-06-28,5.78,5.91,3.99,4.87,9.09,11.51,17.89,2786.9,1950443.5
2018-06-27,5.79,5.95,4.07,4.88,9.09,11.51,18.27,2813.18,1957637.5
2018-06-26,5.78,5.95,4.11,4.91,9.09,11.51,18.52,2844.51,1957112.5
2018-06-25,5.78,5.95,3.99,4.91,9.09,11.51,18.2,2859.34,1955392.5
2018-06-22,5.88,5.96,3.87,4.95,9.09,11.51,18.72,2889.76,1976891.0
2018-06-21,5.87,5.93,3.68,4.94,9.09,11.51,18.17,2875.81,1969080.5
2018-06-20,5.93,6.06,3.73,4.95,9.09,11.51,19.86,2915.73,1994976.0
2018-06-19,5.8,6.06,3.65,4.91,9.09,11.51,20.32,2907.82,1966056.0
2018-06-15,6.33,6.59,3.96,5.39,9.09,11.51,22.6,3021.9,2142956.5
2018-06-14,6.46,6.66,4.05,5.38,9.09,11.51,23.3,3044.16,2177376.0
2018-06-13,6.47,6.64,4.02,5.4,9.09,11.51,25.72,3049.8,2179069.0
2018-06-12,6.61,6.73,4.1,5.52,9.09,11.51,23.99,3079.8,2219910.5
2018-06-11,6.58,6.61,4.09,5.49,9.09,11.51,21.81,3052.78,2200798.5
2018-06-08,6.62,6.72,4.17,5.53,9.09,11.51,19.83,3067.15,2220212.0
2018-06-07,6.83,6.83,4.18,5.63,9.09,11.51,19.83,3109.5,2276695.5
2018-06-06,6.88,6.85,4.28,5.67,9.09,11.51,19.83,3115.18,2291342.5
2018-06-05,6.93,6.85,4.26,5.7,9.09,11.51,19.83,3114.21,2302332.5
2018-06-04,6.88,6.72,4.23,5.67,9.09,11.51,19.83,3091.19,2279012.0
2018-06-01,6.91,6.66,4.28,5.71,9.09,11.51,19.83,3075.14,2281681.0
2018-05-31,7.0,6.66,4.22,5.76,9.09,11.51,19.83,3095.47,2301031.0
2018-05-30,6.9,6.64,4.11,5.58,9.09,11.51,19.83,3041.44,2271704.0
2018-05-29,7.05,6.91,4.33,5.67,9.09,11.51,19.83,3120.46,2332573.5
