,820,541,256,027,sh,total
2018-09-04,6.03,5.9,4.47,5.29,2750.58,2006935.0
2018-09-03,5.99,5.89,4.46,5.29,2720.73,1997606.5
2018-08-31,6.02,5.86,4.44,5.21,2725.25,1998401.0
2018-08-30,6.01,5.87,4.63,5.19,2737.74,1999119.5
2018-08-29,6.1,5.89,4.49,5.2,2769.29,2018066.5
2018-08-28,6.17,5.91,4.64,5.23,2777.98,2037243.5
2018-08-27,6.16,5.92,4.68,5.18,2780.9,2035112.0
2018-08-24,6.09,5.88,4.61,5.12,2729.43,2014238.0
2018-08-23,6.13,5.86,4.68,5.02,2724.62,2018591.0
2018-08-22,6.08,5.85,4.63,4.99,2714.61,2005772.5
2018-08-21,6.13,5.9,4.66,5.07,2733.83,2023505.0
2018-08-20,6.07,5.9,4.62,5.02,2698.47,2009065.0
2018-08-17,6.05,5.8,4.49,4.98,2668.97,1992850.0
2018-08-16,6.16,5.83,4.67,5.03,2705.19,2022215.5
2018-08-15,6.22,5.91,4.75,5.03,2723.26,2043023.5
2018-08-14,6.39,6.03,4.79,5.13,2780.96,2092755.5
2018-08-13,6.45,6.05,4.68,5.1,2785.87,2104682.5
2018-08-10,6.4,6.05,4.69,5.13,2795.31,2095362.5
2018-08-09,6.46,6.07,4.68,5.09,2794.38,2108289.5
2018-08-08,6.37,6.0,4.63,5.02,2744.07,2080480.0
2018-08-07,6.5,6.0,4.6,5.02,2779.37,2107000.0
2018-08-06,6.15,5.86,4.38,4.89,2705.16,2014931.0
2018-08-03,6.13,5.95,4.37,4.98,2740.44,2021627.5
2018-08-02,6.29,5.8,4.45,4.89,2768.02,2039310.0
2018-08-01,6.35,5.95,4.4,5.07,2824.53,2070257.5
2018-07-31,6.36,6.06,4.6,5.1,2876.4,2085931.0
2018-07-30,6.48,6.05,4.57,5.12,2869.05,2110062.5
2018-07-27,6.38,6.1,4.63,5.09,2873.59,2093835.0
2018-07-26,6.44,6.12,4.51,5.08,2882.23,2106232.0
2018-07-25,6.45,6.13,4.44,5.07,2903.65,2108010.5
2018-07-24,6.44,6.1,4.48,5.13,2905.56,2105505.0
2018-07-23,6.02,5.98,4.47,4.98,2859.54,2002913.0
2018-07-20,5.82,5.91,4.43,4.98,2829.27,1954563.5
2018-07-19,5.96,5.87,4.42,4.82,2772.55,1974939.5
2018-07-18,6.01,5.92,4.31,4.83,2787.26,1988752.0
2018-07-17,6.0,6.0,4.27,4.78,2798.13,1992010.0
2018-07-16,6.0,5.86,4.28,4.84,2814.04,1981081.0
2018-07-13,5.97,5.91,4.28,4.89,2831.18,1980963.5
2018-07-12,5.96,5.87,4.31,4.92,2837.66,1976509.5
2018-07-11,5.82,5.75,4.18,4.86,2777.77,1933017.5
2018-07-10,5.92,5.87,4.24,4.92,2827.63,1967319.5
2018-07-09,5.89,5.85,4.22,4.93,2815.11,1959312.5
2018-07-06,5.82,5.76,3.97,4.88,2747.23,1931806.0
2018-07-05,5.81,5.78,3.94,4.85,2733.88,1930283.0
2018-07-04,5.94,5.96,4.09,4.92,2759.13,1977776.0
2018-07-03,5.91,5.97,4.07,4.91,2786.89,1971924.5
2018-07-02,5.82,5.89,3.95,4.87,2775.56,1943186.5
2018-06-29,5.91,5.99,4.1,4.94,2847.42,1975051.5
